datetime,sym,price,size
2025.05.23D09:29:30.445700237,IBM,257.29,6
2025.05.23D09:29:30.445724289,IBM,257.3,1
2025.05.23D09:29:31.904458948,IBM,257.5,1
2025.05.23D09:29:32.482714912,IBM,257.29,1
2025.05.23D09:29:36.936789191,IBM,257.06,1
2025.05.23D09:31:33.579270974,IBM,257.48,24
2025.05.23D09:31:33.579270974,IBM,257.5,59
2025.05.23D09:31:33.579631851,IBM,257.48,14
2025.05.23D09:35:24.706449428,IBM,257.49,30
2025.05.23D09:35:28.733997020,IBM,257.5,40
2025.05.23D09:38:57.299720682,IBM,257.48,2
2025.05.23D09:39:03.669671997,IBM,257.48,10
2025.05.23D09:39:39.557140522,IBM,257.5,10
2025.05.23D09:40:19.176074513,IBM,257.5,10
2025.05.23D09:42:25.385414419,IBM,257.51,1
2025.05.23D09:42:26.984421183,IBM,257.51,1
2025.05.23D09:42:27.688168764,IBM,257.51,1
2025.05.23D09:42:28.395368794,IBM,257.51,1
2025.05.23D09:42:29.095868857,IBM,257.51,1
2025.05.23D09:42:29.798046923,IBM,257.51,1
2025.05.23D09:42:30.520658636,IBM,257.51,1
2025.05.23D09:42:31.210483165,IBM,257.51,1
2025.05.23D09:42:31.911371101,IBM,257.33,1
2025.05.23D09:43:15.850602597,IBM,257.48,1
2025.05.23D09:43:57.247030338,IBM,257.52,10
2025.05.23D09:43:57.247177690,IBM,257.52,10
2025.05.23D09:43:58.885572125,IBM,257.5,70
2025.05.23D09:43:58.885662341,IBM,257.48,10
2025.05.23D09:43:58.885776827,IBM,257.53,30
2025.05.23D09:43:58.885809631,IBM,257.53,10
2025.05.23D09:43:59.157154791,IBM,257.67,10
2025.05.23D09:46:03.745659442,IBM,257.67,1
2025.05.23D09:46:08.777168423,IBM,257.22,1
2025.05.23D09:46:08.777436024,IBM,257.5,30
2025.05.23D09:46:08.777523233,IBM,257.52,10
2025.05.23D09:50:12.416475267,IBM,257.31,10
2025.05.23D09:51:29.954999059,IBM,257.4,1
2025.05.23D09:51:42.351408853,IBM,257.4,10
2025.05.23D09:52:00.905942299,IBM,257.4,100
2025.05.23D09:52:00.906399398,IBM,257.4,1889
2025.05.23D09:52:00.906901855,IBM,257.6,13
2025.05.23D09:52:00.907081996,IBM,257.6,12
2025.05.23D09:52:01.970732865,IBM,257.6,12
2025.05.23D09:52:02.034051641,IBM,257.6,14
2025.05.23D10:00:11.030722755,IBM,257.7,10
2025.05.23D10:00:21.041371422,IBM,257.65,1
2025.05.23D10:02:31.340642746,IBM,257.64,10
2025.05.23D10:02:35.969854002,IBM,257.67,10
2025.05.23D10:02:35.969971332,IBM,257.65,13
2025.05.23D10:02:36.039316416,IBM,257.78,10
2025.05.23D10:02:36.039809560,IBM,257.78,10
2025.05.23D10:02:36.104328299,IBM,257.78,10
2025.05.23D10:02:36.104448595,IBM,257.78,10
2025.05.23D10:02:36.104490671,IBM,257.78,10
2025.05.23D10:02:36.617900695,IBM,257.78,9
2025.05.23D10:02:36.617900695,IBM,257.78,1
2025.05.23D10:02:36.618011487,IBM,257.78,10
2025.05.23D10:02:37.866665812,IBM,257.88,30
2025.05.23D10:02:37.866665812,IBM,257.88,20
2025.05.23D10:02:38.394879623,IBM,257.88,10
2025.05.23D10:03:13.423340517,IBM,258,2
2025.05.23D10:03:22.026965769,IBM,258,8
2025.05.23D10:04:16.756488858,IBM,257.88,2
2025.05.23D10:05:01.221826280,IBM,257.98,10
2025.05.23D10:05:01.221892388,IBM,257.98,10
2025.05.23D10:05:38.596687754,IBM,257.9,10
2025.05.23D10:05:38.596756956,IBM,257.9,10
2025.05.23D10:06:38.198577739,IBM,257.9,1
2025.05.23D10:10:47.314268932,IBM,257.88,8
2025.05.23D10:11:03.028665513,IBM,257.8,1
2025.05.23D10:14:57.991646408,IBM,258.21,1
2025.05.23D10:16:23.027242121,IBM,257.88,1
2025.05.23D10:16:23.027398443,IBM,257.85,1
2025.05.23D10:18:33.472357296,IBM,257.88,2
2025.05.23D10:18:55.752952651,IBM,258.18,10
2025.05.23D10:19:13.203190557,IBM,258.15,1
2025.05.23D10:39:27.926531514,IBM,258.15,5
2025.05.23D10:39:28.115618682,IBM,258.15,5
2025.05.23D10:42:40.090622551,IBM,258.15,5
2025.05.23D10:42:40.696589487,IBM,258.15,1
2025.05.23D10:42:51.553113447,IBM,258.04,50
2025.05.23D10:42:51.553272684,IBM,258.07,60
2025.05.23D10:42:51.626307598,IBM,258.19,2
2025.05.23D10:43:50.296019895,IBM,257.73,10
2025.05.23D10:54:46.137172549,IBM,257.82,5
2025.05.23D10:54:46.137743953,IBM,257.82,5
2025.05.23D10:57:39.585379274,IBM,257.82,60
2025.05.23D10:57:39.585379274,IBM,257.79,1
2025.05.23D10:57:39.585721794,IBM,257.79,83
2025.05.23D10:57:39.585857105,IBM,257.79,56
2025.05.23D10:57:40.153122050,IBM,258.06,10
2025.05.23D10:57:40.153125198,IBM,258.25,10
2025.05.23D10:57:40.153127907,IBM,258.34,50
2025.05.23D10:58:00.686084898,IBM,257.99,1
2025.05.23D10:59:23.654585768,IBM,257.98,10
2025.05.23D11:00:00.052679014,IBM,257.98,4
2025.05.23D11:00:52.837368878,IBM,257.98,25
2025.05.23D11:00:52.837588360,IBM,257.99,25
2025.05.23D11:02:25.117711377,IBM,257.98,86
2025.05.23D11:02:25.117714755,IBM,257.99,99
2025.05.23D11:02:25.117714755,IBM,257.99,100
2025.05.23D11:02:25.117717418,IBM,258,71
2025.05.23D11:02:25.117789662,IBM,258,144
2025.05.23D11:10:19.323898496,IBM,258.03,3
2025.05.23D11:15:30.144083038,IBM,258,5
2025.05.23D11:19:50.290660586,IBM,258.17,1
2025.05.23D11:19:50.290699720,IBM,258.03,1
2025.05.23D11:19:50.572139838,IBM,258,5
