datetime,sym,bid_price,bid_size,ask_price,ask_size
2025.05.23D08:00:24.106404438,IBM,258.3,1,260,1
2025.05.23D08:00:24.108424284,IBM,258.3,1,263.77,3
2025.05.23D08:00:24.108434279,IBM,258.3,1,260.2,1
2025.05.23D08:00:24.108459360,IBM,258.3,1,263.77,3
2025.05.23D08:00:24.173042799,IBM,258.3,1,260.2,1
2025.05.23D08:00:24.184269500,IBM,254.76,4,260.2,1
2025.05.23D08:00:24.184284505,IBM,258,1,260.2,1
2025.05.23D08:00:24.194759416,IBM,254.76,4,260.2,1
2025.05.23D08:00:24.194769452,IBM,257.8,1,260.2,1
2025.05.23D08:00:24.432394247,IBM,257.9,1,260.2,1
2025.05.23D08:00:24.442403047,IBM,258.4,1,260.2,1
2025.05.23D08:00:27.357235261,IBM,258.4,1,263.77,3
2025.05.23D08:00:27.357245268,IBM,258.4,1,260.4,1
2025.05.23D08:00:27.495463789,IBM,258.4,1,260.3,1
2025.05.23D08:00:27.523480338,IBM,258.4,1,260,1
2025.05.23D08:00:28.136717687,IBM,254.76,4,260,1
2025.05.23D08:00:28.136732664,IBM,257.9,1,260,1
2025.05.23D08:00:28.192435044,IBM,258,1,260,1
2025.05.23D08:00:28.206633834,IBM,258.3,1,260,1
2025.05.23D08:00:28.256016183,IBM,254.76,4,260,1
2025.05.23D08:00:28.256031186,IBM,258,1,260,1
2025.05.23D08:00:30.360136734,IBM,258,1,263.77,3
2025.05.23D08:00:30.360146760,IBM,258,1,260.1,1
2025.05.23D08:00:30.431255719,IBM,258,1,263.77,3
2025.05.23D08:00:30.431270740,IBM,258,1,260.4,1
2025.05.23D08:00:30.471200623,IBM,258.1,1,260.4,1
2025.05.23D08:00:30.481565295,IBM,258.4,1,260.4,1
2025.05.23D08:00:30.485800317,IBM,258.4,1,260.3,1
2025.05.23D08:00:30.542264490,IBM,258.4,1,259.9,1
2025.05.23D08:00:30.584935919,IBM,258.5,1,259.9,1
2025.05.23D08:00:33.609463868,IBM,258.5,1,263.77,3
2025.05.23D08:00:33.609473874,IBM,258.5,1,260,1
2025.05.23D08:00:33.610757003,IBM,258.5,1,263.77,3
2025.05.23D08:00:33.610767036,IBM,258.5,1,260.2,1
2025.05.23D08:00:33.736064714,IBM,258.5,1,260.1,1
2025.05.23D08:00:33.746078586,IBM,258.5,1,260,1
2025.05.23D08:00:35.862242608,IBM,258.5,1,263.77,3
2025.05.23D08:00:35.862257705,IBM,258.5,1,260.1,1
2025.05.23D08:00:35.862277709,IBM,258.5,1,263.77,3
2025.05.23D08:00:35.871584882,IBM,258.5,1,260.2,1
2025.05.23D08:00:36.004470705,IBM,258.5,1,260.1,1
2025.05.23D08:00:37.862652035,IBM,258.5,1,263.77,3
2025.05.23D08:00:37.862661781,IBM,258.5,1,260.3,1
2025.05.23D08:00:37.934537624,IBM,258.5,1,263.77,3
2025.05.23D08:00:37.934552706,IBM,258.5,1,260.6,1
2025.05.23D08:00:37.994054121,IBM,258.5,1,260.5,1
2025.05.23D08:00:38.013059217,IBM,258.5,1,260.2,1
2025.05.23D08:00:41.521081184,IBM,254.76,4,260.2,1
2025.05.23D08:00:41.521091250,IBM,258.3,1,260.2,1
2025.05.23D08:00:41.521196482,IBM,254.76,4,260.2,1
